id,match,game,dt
ogc-nice-vs-lille-osc,"['Ницца', 'Лилль']",football,2023-01-29 15:00:00
aj-auxerre-vs-montpellier-hsc,"['Осер', 'Монпелье']",football,2023-01-29 17:00:00
clermont-foot-vs-nantes,"['Клермон', 'Нант']",football,2023-01-29 17:00:00
racing-strasbourg-vs-toulouse-fc,"['Страсбур', 'Тулуза']",football,2023-01-29 17:00:00
stade-brest-vs-sco-angers,"['Брест', 'Анже']",football,2023-01-29 17:00:00
ac-ajaccio-vs-olympique-lyon,"['Аяччо', 'Лион']",football,2023-01-29 19:05:00
paris-saint-germain-vs-stade-reims,"['ПСЖ', 'Реймс']",football,2023-01-29 22:45:00
real-valladolid-vs-valencia-cf,"['Реал Вальядолид', 'Валенсия']",football,2023-01-29 16:00:00
ca-osasuna-vs-atletico-madrid,"['Осасуна', 'Атлетико Мадрид']",football,2023-01-29 18:15:00
celta-de-vigo-vs-athletic-bilbao,"['Сельта', 'Атлетик Бильбао']",football,2023-01-29 20:30:00
real-madrid-vs-real-sociedad,"['Реал Мадрид', 'Реал Сосьедад']",football,2023-01-29 23:00:00
ac-milan-vs-us-sassuolo,"['Милан', 'Сассуоло']",football,2023-01-29 14:30:00
juventus-turin-vs-ss-monza-1912,"['Ювентус', 'Монца']",football,2023-01-29 17:00:00
lazio-roma-vs-acf-fiorentina,"['Лацио', 'Фиорентина']",football,2023-01-29 20:00:00
ssc-napoli-vs-as-roma,"['Наполи', 'Рома']",football,2023-01-29 22:45:00
schalke-04-vs-1-fc-cologne,"['Шальке', 'Кельн']",football,2023-01-29 17:30:00
bayer-leverkusen-vs-borussia-dortmund,"['Байер', 'Боруссия Дортмунд']",football,2023-01-29 19:30:00
brighton-hove-albion-fc-vs-liverpool-fc,"['Брайтон', 'Ливерпуль']",football,2023-01-29 16:30:00
stoke-city-vs-stevenage-fc,"['Сток Сити', 'Стивенидж']",football,2023-01-29 17:00:00
wrexham-afc-vs-sheffield-united,"['Рексем', 'Шеффилд Юнайтед']",football,2023-01-29 19:30:00
ascoli-vs-us-palermo,"['Асколи', 'Палермо']",football,2023-01-29 16:00:00
frosinone-calcio-vs-benevento-calcio,"['Фрозиноне', 'Беневенто']",football,2023-01-29 18:15:00
sporting-cp-vs-sporting-braga,"['Спортинг', 'Брага']",football,2023-01-29 18:30:00
casa-pia-atletico-vs-cd-santa-clara,"['Каса Пиа', 'Санта-Клара']",football,2023-01-29 18:30:00
fc-vizela-vs-rio-ave-fc,"['Визела', 'Риу Аве']",football,2023-01-29 18:30:00
boavista-fc-vs-portimonense-sc,"['Боавишта', 'Портимоненсе']",football,2023-01-29 21:00:00
fc-famalicao-vs-gd-estoril-praia,"['Фамаликан', 'Эшторил Прая']",football,2023-01-29 23:30:00
arminia-bielefeld-vs-sv-sandhausen,"['Арминия', 'Сандхаузен']",football,2023-01-29 15:30:00
hamburger-sv-vs-eintracht-braunschweig,"['Гамбург', 'Айнтрахт Брауншвейг']",football,2023-01-29 15:30:00
1-fc-nuremberg-vs-st-pauli,"['Нюрнберг', 'Санкт-Паули']",football,2023-01-29 15:30:00
melbourne-city-fc-vs-adelaide-united-fc,"['Мельбурн Сити', 'Аделаида Юнайтед']",football,2023-01-29 07:00:00
twente-enschede-vs-feyenoord-rotterdam,"['Твенте', 'Фейеноорд']",football,2023-01-29 14:15:00
sbv-excelsior-vs-ajax-amsterdam,"['Эксельсиор', 'Аякс']",football,2023-01-29 16:30:00
volendam-vs-groningen,"['Волендам', 'Гронинген']",football,2023-01-29 16:30:00
cambuur-leeuwarden-vs-fortuna-sittard,"['Камбюр', 'Фортуна Ситтард']",football,2023-01-29 18:45:00
barcelona-guayaquil-vs-mushuc-runa-sc,"['Барселона Гуаяхиль', 'Мушук Руна']",football,2023-01-29 04:00:00
fk-arda-kurdzhali-vs-zorya-lugansk,"['Арда Куржали', 'Заря']",football,2023-01-29 11:00:00
jk-tabasalu-vs-viimsi-jk,"['Табасалу', 'Вилмси']",football,2023-01-29 11:10:00
fk-admira-prague-vs-fk-mlada-boleslav-b,"['Адмира', 'Млада-Болеслав Б']",football,2023-01-29 12:30:00
scr-altach-vs-monaco-2,"['Альтах', 'Monaco 2']",football,2023-01-29 13:00:00
degerfors-if-vs-skovde-aik,"['Дегерфорс ИФ', 'АИК Скевде']",football,2023-01-29 15:00:00
flora-tallinn-vs-valmiera-fk-bjss,"['Флора', 'Валмиера']",football,2023-01-29 15:30:00
karlslunde-if-vs-bk-avarta,"['Карсллунде', 'Аварта']",football,2023-01-29 15:30:00
lokomotiv-moscow-vs-pfc-sochi,"['Локомотив', 'Сочи']",football,2023-01-29 16:00:00
vasalunds-if-vs-ifk-haninge,"['Васалундс', 'Ханинге']",football,2023-01-29 16:00:00
dinamo-moscow-vs-fk-borac-banja-luka,"['Динамо', 'Борац Баня Лука']",football,2023-01-29 16:00:00
sc-dnipro-1-vs-fk-sutjeska-niksic,"['Днепр-1', 'Сутьеска Нексич']",football,2023-01-29 17:00:00
bolivar-la-paz-vs-monagas-sc,"['Клуб Боливар', 'Монагас']",football,2023-01-29 23:00:00
usa-vs-colombia,"['США', 'Колумбия']",football,2023-01-29 03:30:00
juventus-vs-vicenza-calcio,"['Ювентус U23', 'Виченца']",football,2023-01-29 14:30:00
mantova-fc-vs-calcio-lecco,"['Мантова', 'Леччо']",football,2023-01-29 16:30:00
asd-arzignano-valchiampo-vs-us-pergolettese-1932,"['Арзиньяно', 'Перголеттезе']",football,2023-01-29 16:30:00
uc-albinoleffe-vs-piacenza-calcio,"['Альбинолеффе', 'Пьяченца']",football,2023-01-29 16:30:00
calcio-padova-vs-pordenone-calcio,"['Падова', 'Порденоне']",football,2023-01-29 16:30:00
ac-renate-vs-aurora-pro-patria-1919,"['Ренате', 'Про Патрия']",football,2023-01-29 16:30:00
sangiuliano-city-nova-vs-ssd-pro-sesto,"['Sangiuliano City Nova', 'Про Сесто']",football,2023-01-29 16:30:00
novara-calcio-vs-fc-pro-vercelli-1892,"['Новара', 'Про Верчелли']",football,2023-01-29 16:30:00
us-triestina-calcio-1918-vs-ac-trento,"['Триестина Кальчо', 'Тренто']",football,2023-01-29 16:30:00
ac-feralpi-salo-vs-virtus-vecomp-verona,"['ФеральпиСало', 'Виртус Векомп']",football,2023-01-29 16:30:00
messina-fc-vs-us-catanzaro-1929,"['Мессина', 'Катандзаро']",football,2023-01-29 16:30:00
az-picerno-vs-ssd-fidelis-andria-2018,"['Пичерно', 'Фиделис Андрия']",football,2023-01-29 16:30:00
pescara-calcio-vs-foggia-calcio,"['Пескара', 'Фоджа']",football,2023-01-29 16:30:00
asd-turris-calcio-vs-fc-giugliano-1928,"['Туррис', 'ФК Гиглиано']",football,2023-01-29 16:30:00
viterbo-calcio-vs-juve-stabia,"['Витебро', 'Юве Стабиа']",football,2023-01-29 16:30:00
us-avellino-1912-vs-latina-calcio,"['US Avellino 1912', 'Латино Кальче']",football,2023-01-29 16:30:00
crotone-vs-potenza-calcio,"['Кротоне', 'Потенца']",football,2023-01-29 16:30:00
taranto-fc-1927-vs-gelbison-vallo-d-l,"['Таранто', 'Джельбизон Валььо']",football,2023-01-29 19:30:00
virtus-francavilla-calcio-vs-monterosi-fc,"['Виртус Франкавилья', 'Монтероси']",football,2023-01-29 19:30:00
anagennisi-karditsas-1904-vs-fc-veria,"['Анагеннис Кардица', 'Верия']",football,2023-01-29 15:45:00
apollon-pontou-vs-larissa,"['Аполлон 1926', 'Ларисса']",football,2023-01-29 15:45:00
apollon-larissa-fc-vs-almopos-arideas,"['Аполлон Ларисса', 'Алмопос Аридеас']",football,2023-01-29 15:45:00
niki-volou-vs-po-triglias,"['Ники Волу', 'Триглиас']",football,2023-01-29 15:45:00
diagoras-fc-vs-makedonikos-fc,"['Диагорас', 'Македоникос']",football,2023-01-29 15:45:00
irodotos-vs-panachaiki-1891-fc,"['Иродотос', 'Паначаики']",football,2023-01-29 15:45:00
ae-kifisias-vs-episkopi-fc,"['Кифисиас', 'Эпископи']",football,2023-01-29 15:45:00
o-f-ierapetras-vs-kalamata-fc,"['Иерапетрас', 'Каламата']",football,2023-01-29 15:45:00
proodeftiki-fc-vs-gs-apollon-smyrnis,"['Продефтики', 'Аполлон Смирнис']",football,2023-01-29 15:45:00
fethiyespor-vs-erzin-belediyespor,"['Фетхиеспор', 'Эрзин Беледиеспор']",football,2023-01-29 13:00:00
amedspor-vs-sanliurfaspor,"['Амедспор', 'Санлиурфаспор']",football,2023-01-29 14:00:00
corum-belediyespor-vs-nazilli-bld-spor,"['Чорум Беледиеспор', 'Назиллиспор']",football,2023-01-29 14:00:00
idare-genclik-vs-duzcespor,"['Идаре Генчлик', 'Дюзчеспор']",football,2023-01-29 14:00:00
sivas-belediye-spor-vs-somaspor,"['Сивас Беледиеспор', 'Сомаспор']",football,2023-01-29 14:00:00
tarsus-idman-yurdu-vs-menemen-belediyespor,"['Тарсус Идман Юрду', 'Менемен Беледиеспор']",football,2023-01-29 14:00:00
batman-petrolspor-vs-bursaspor,"['Бэтмен Петролспор', 'Бурсаспор']",football,2023-01-29 14:00:00
erok-spor-vs-arnavutkoy-belediyesi-genclik-ve-spor,"['Эрокспор', 'Арнавуткой']",football,2023-01-29 14:00:00
as-sariyer-vs-ankara-demirspor,"['Сарыер', 'Анкара Демирспор']",football,2023-01-29 14:00:00
serik-belediyespor-vs-kocaelispor,"['Серки Беледиеспор', 'Коджаэлиспор']",football,2023-01-29 14:00:00
duzyurtspor-vs-belediye-vanspor,"['Дузютспор', 'Беледие Ванспор']",football,2023-01-29 14:00:00
adiyaman-1954-sk-vs-zonguldakspor,"['Адийаман', 'Зонгулдакспор']",football,2023-01-29 14:00:00
pazarspor-vs-diyarbakir-fk-as-1977,"['Пазарспор', 'Диярбакырспор']",football,2023-01-29 14:00:00
balikesirspor-vs-karacabey-birlik-spor-a-s,"['Баликешиспор', 'Караджабей Бирликспор']",football,2023-01-29 14:00:00
utas-usakspor-a-s-vs-etimesgut-belediyespor,"['Усакспор', 'Етиместгут Беледиеспор']",football,2023-01-29 14:00:00
tire-1922-spor-vs-kastamonuspor,"['Бука', 'Кастамонуспор']",football,2023-01-29 14:00:00
kirklarelispor-vs-kirsehir-belediye-spor,"['Киркларелиспор', 'Кирсехир']",football,2023-01-29 14:00:00
scu-torreense-vs-sporting-farense,"['Торренсе', 'Спортинг Фаренсе']",football,2023-01-29 14:00:00
sc-covilha-vs-fc-porto-b,"['Ковилья', 'Порту II']",football,2023-01-29 15:45:00
vilafranquense-vs-moreirense-fc,"['Вильяфранкенсе', 'Морейренсе']",football,2023-01-29 17:00:00
cd-tondela-vs-cd-nacional,"['Тондела', 'Насьонал']",football,2023-01-29 17:00:00
cd-mafra-vs-ud-oliveirense,"['Мафра', 'Оливейренсе']",football,2023-01-29 18:30:00
cf-estrela-vs-cd-feirense,"['CF Estrela', 'Фейренсе']",football,2023-01-29 18:30:00
leixoes-sc-vs-penafiel,"['Лейкшес', 'Пенафиел']",football,2023-01-29 21:00:00
accra-great-olympics-vs-karela-fc,"['Акра Грейт Олимпикс', 'Карела']",football,2023-01-29 18:00:00
real-tamale-united-vs-nsoatreman-fc,"['Реал Тамале Юнайтед', 'Nsoatreman FC']",football,2023-01-29 18:00:00
aduana-stars-vs-accra-lions,"['Адуана Старз', 'Accra Lions']",football,2023-01-29 18:00:00
samartex-vs-king-faisal,"['Самартекс', 'Кинг Файсал']",football,2023-01-29 18:00:00
berekum-chelsea-vs-dreams,"['Берекум Челси', 'Дримс']",football,2023-01-29 18:00:00
asante-kotoko-vs-kotoku-royals,"['Асанте Котоко', 'Kotoku Royals']",football,2023-01-29 21:00:00
central-cordoba-sde-vs-ca-river-plate-arg,"['Сентраль Кордоба', 'Ривер Плейт']",football,2023-01-29 03:30:00
ca-platense-vs-newell-s-old-boys,"['Платенсе', 'Ньюэллс Олд Бойз']",football,2023-01-29 23:00:00
racing-club-vs-ca-belgrano,"['Расинг Авельянеда', 'Бельграно Кордоба']",football,2023-01-29 01:15:00
colon-de-santa-fe-vs-atletico-lanus,"['Колон', 'Атлетико Ланус']",football,2023-01-29 01:15:00
instituto-ac-cordoba-vs-ca-sarmiento,"['Институто Атлетико', 'Атлетико Сармиенто']",football,2023-01-29 01:15:00
fbc-melgar-vs-deportivo-garcilaso,"['Мельгар', 'Deportivo Garcilaso']",football,2023-01-29 03:00:00
academia-cantolao-vs-sport-boys-association,"['Академия Кантолао', 'Спорт Бойз']",football,2023-01-29 19:00:00
union-comercio-vs-sporting-cristal,"['Унион Комерсио', 'Спортинг Кристал']",football,2023-01-29 21:15:00
carlos-mannucci-vs-atletico-grau,"['Карлос Маннуччи', 'Атлетико Грау']",football,2023-01-29 23:00:00
alianza-atletico-vs-universitario-de-deportes,"['Альянса Атлетико', 'Университарио де Депортес']",football,2023-01-29 23:30:00
gallos-blancos-queretaro-vs-cruz-azul,"['Керетаро', 'Крус Асуль']",football,2023-01-29 03:00:00
uanl-tigres-vs-san-luis,"['Тигрес', 'Сан-Луис']",football,2023-01-29 04:05:00
america-de-mexico-vs-monarcas-morelia,"['Америка Мехико', 'Монаркас Морелия']",football,2023-01-29 06:05:00
fc-juarez-vs-guadalajara-chivas,"['Хуарес', 'Гвадалахара Чивас']",football,2023-01-29 06:05:00
deportivo-toluca-vs-leon,"['Депортиво Толука', 'Леон']",football,2023-01-29 21:00:00
isidro-metapan-vs-ad-chalatenango,"['Исидро Метапан', 'Чалатенанго']",football,2023-01-29 04:00:00
cd-fas-vs-once-municipal,"['ФАС', 'Онче Мунисипал']",football,2023-01-29 00:00:00
l-a-firpo-vs-cd-atletico-marte,"['Луис Анхель Фирпо', 'Атлетико Марте']",football,2023-01-29 00:00:00
cd-platense-municipal-zacatecoluca-vs-alianza-fc,"['CD Platense Municipal Zacatecoluca', 'Алианца']",football,2023-01-29 00:15:00
cd-dragon-vs-jocoro-fc,"['Депортиво Драгон', 'Хокоро']",football,2023-01-29 00:30:00
cd-mirandes-vs-cd-alaves,"['ФК Мирандес', 'Алавес']",football,2023-01-29 16:00:00
ud-levante-vs-burgos-cf,"['Леванте', 'Бургос']",football,2023-01-29 18:15:00
albacete-balompie-vs-cd-lugo,"['Альбасете', 'Луго']",football,2023-01-29 20:30:00
sporting-gijon-vs-malaga-cf,"['Спортинг Хихон', 'Малага']",football,2023-01-29 20:30:00
ud-ibiza-eivissa-vs-cartagena,"['Ибица Эйвисса', 'Картахена II']",football,2023-01-29 23:00:00
sk-slavia-prague-vs-fk-jablonec,"['Славия Прага', 'Яблонец']",football,2023-01-29 17:00:00
fk-mlada-boleslav-vs-zbrojovka-brno,"['Млада Болеслав', 'Зброёвка']",football,2023-01-29 17:00:00
slovan-liberec-vs-pardubice,"['Слован', 'Пардубице']",football,2023-01-29 17:00:00
fastav-zlin-vs-fc-banik-ostrava,"['Фастав Злин', 'Баник']",football,2023-01-29 20:00:00
union-touarga-vs-dhj-difaa-hassani-jdidi,"['Унион Туарга', 'Дифаа Хассани']",football,2023-01-29 18:00:00
wydad-ac-casablanca-vs-fus-fath-union-sportive-rabat,"['Видад Касабланка', 'ФЮС']",football,2023-01-29 20:15:00
sccm-chabab-mohammedia-vs-olympique-club-of-khouribga,"['Sccm Chabab Mohammedia', 'Олимпик Хурибга']",football,2023-01-29 22:30:00
hassania-union-sport-agadir-vs-rsb-berkane,"['Хассани', 'Беркан']",football,2023-01-29 22:30:00
esportivo-bento-goncalves-rs-vs-brasil-de-pelotas-rs,"['Бениту Гонсалвеш', 'Брасил де Пелотас']",football,2023-01-29 22:00:00
avenida-rs-vs-ypiranga-fc-rs,"['Авенида', 'Ипиранга']",football,2023-01-29 22:00:00
caxias-rs-vs-clube-esportivo-aimore-rs,"['Каксиас', 'Эспортиво Аиморе']",football,2023-01-29 01:00:00
ec-sao-jose-rs-vs-gremio-rs,"['Сан-Жозе', 'Гремио']",football,2023-01-29 02:30:00
rsc-anderlecht-vs-royal-antwerp-fc,"['Андерлехт', 'Антверпен']",football,2023-01-29 15:30:00
cercle-brugge-vs-kaa-gent,"['Серкль Брюгге', 'Гент']",football,2023-01-29 18:00:00
sv-zulte-waregem-vs-club-brugge,"['Зульте Варегем', 'Брюгге']",football,2023-01-29 20:30:00
krc-genk-vs-rfc-seraing,"['Генк', 'Серен']",football,2023-01-29 23:00:00
ec-agua-santa-vs-aa-portuguesa-de-desportos,"['Агуа Санта', 'Португеза Деспортос']",football,2023-01-29 21:00:00
aa-internacional-sp-vs-ituano-fc-sp,"['Интернасьонало Сан-Паулу', 'Итуано']",football,2023-01-29 22:00:00
sao-bernardo-fc-vs-ec-sao-bento,"['Сан-Бернарду', 'Сан-Бенту']",football,2023-01-29 22:00:00
sao-paulo-sp-vs-corinthians-sp,"['Сан-Паулу', 'Коринтианс']",football,2023-01-29 00:30:00
adanaspor-vs-bodrum-belediyesi-bodrumspor,"['Аданаспор', 'Бодрумспор']",football,2023-01-29 13:30:00
keciorengucu-vs-altay-izmir,"['Кесиоеренгючю', 'Алтай']",football,2023-01-29 13:30:00
malatya-bld-spor-vs-eyupspor,"['Ени Малатьяспор', 'Эюпспор']",football,2023-01-29 16:00:00
denizlispor-vs-manisa-buyuksehir-belediyespor,"['Денизлиспор', 'Маниса Буйуксехир Беледиеспор']",football,2023-01-29 19:00:00
enppi-club-vs-smouha-sc,"['ЕНППИ', 'Смуха']",football,2023-01-29 15:45:00
haras-el-hodood-vs-al-ahly-cairo,"['Харас Эль-Ходоод', 'Аль-Ахли Каир']",football,2023-01-29 18:00:00
pyramids-fc-vs-ceramica-cleopatra,"['Пирамидс', 'Керамика Клеопатра']",football,2023-01-29 20:00:00
el-zamalek-vs-coca-cola,"['Замалек', 'Фьючр ФК']",football,2023-01-29 20:00:00
richards-bay-fc-vs-amazulu-fc,"['Ричардс-Бэй', 'Амазулу']",football,2023-01-29 16:30:00
chippa-united-fc-vs-maritzburg-united-fc,"['Чиппа Юнайтед', 'Марицбург Юнайтед']",football,2023-01-29 16:30:00
kaizer-chiefs-vs-bloemfontein-celtic-fc,"['Кайзер Чифс', 'Ройал АМ']",football,2023-01-29 18:30:00
ts-galaxy-fc-vs-lamontville-golden-arrows-fc,"['ТС Гэлакси', 'Голден Эрроуз']",football,2023-01-29 18:30:00
santos-de-guapiles-vs-deportivo-saprissa,"['Сантос Гуапилес', 'Депортиво Саприсса']",football,2023-01-29 04:15:00
cs-herediano-vs-ad-guanacasteca,"['Эредиано', 'Гуанакастека']",football,2023-01-29 05:00:00
ad-municipal-grecia-vs-ad-san-carlos,"['AD Municipal Grecia', 'Сан-Карлос']",football,2023-01-29 20:00:00
puntarenas-fc-vs-perez-zeledon,"['ФК Пунтаренас', 'Перес Селедон']",football,2023-01-29 00:00:00
mezokovesd-se-vs-puskas-akademia-fc,"['Мезекевешд', 'Академия Пушкаша']",football,2023-01-29 15:00:00
ujpest-fc-vs-budapest-honved-fc,"['Уйпешт', 'Будапешт Гонвед']",football,2023-01-29 17:30:00
kecskemeti-te-vs-videoton-fc,"['Кечкемет', 'Фехервар']",football,2023-01-29 19:30:00
resende-rj-vs-portuguesa-rj,"['Резенде', 'Португеса']",football,2023-01-29 21:30:00
fluminense-rj-vs-botafogo-rj,"['Флуминенсе', 'Ботафого']",football,2023-01-29 00:00:00
boavista-rj-vs-madureira-rj,"['Боавишта', 'Мадурейра']",football,2023-01-29 02:15:00
fc-arges-pitesti-vs-botosani,"['Аргес', 'Ботосани']",football,2023-01-29 14:30:00
acs-sepsi-osk-sfantu-gheorghe-vs-u-craiova-1948-sa,"['Сепси', 'U Craiova 1948 SA']",football,2023-01-29 17:00:00
fotbal-club-fcsb-vs-fc-farul-constanta,"['ФКСБ', 'Фарул']",football,2023-01-29 20:00:00
csd-xelaju-mc-vs-deportivo-iztapa,"['Шелаху', 'Депортиво Истапа']",football,2023-01-29 05:00:00
deportivo-malacateco-vs-csd-comunicaciones,"['Депортиво Малакатеко', 'Комуникасьонес']",football,2023-01-29 21:00:00
huehueteco-xinabajul-vs-deportivo-guastatoya,"['Хуехуетеко Ксинаджул', 'Депортиво Гуастатоя']",football,2023-01-29 02:00:00
ibis-vs-caruaru-city-pe,"['Ibis', 'Caruaru City PE']",football,2023-01-29 21:00:00
belo-jardim-vs-petrolina-pe,"['Белу-Жардин Пернамбуку', 'Петролина']",football,2023-01-29 21:00:00
santa-cruz-pe-vs-maguary-pe,"['Санта-Круз', 'Maguary PE']",football,2023-01-29 22:30:00
balzan-youths-vs-marsaxlokk-fc,"['Бальцан', 'Марсакслокк']",football,2023-01-29 13:30:00
hamrun-spartans-fc-vs-sirens-fc,"['Хамрун Спартанс ФК', 'Сайренс']",football,2023-01-29 17:00:00
valletta-fc-vs-floriana-fc,"['Валлетта', 'Флориана']",football,2023-01-29 17:00:00
huachipato-vs-cobresal,"['Хуачипато', 'Кобресал']",football,2023-01-29 18:00:00
o-higgins-fc-vs-colo-colo,"[""О'Хиггинс"", 'Коло-Коло']",football,2023-01-29 00:00:00
audax-italiano-vs-deportes-copiapo,"['Аудакс Италиано', 'Депортес Копьяпо']",football,2023-01-29 02:30:00
fc-viktoria-1889-berlin-vs-carl-zeiss-jena,"['Виктория Берлин', 'Карл Цейсс']",football,2023-01-29 15:00:00
greifswalder-fc-vs-berliner-ak-07,"['Грайфсвальдер', 'Берлинер']",football,2023-01-29 15:00:00
bsg-chemie-leipzig-vs-sv-babelsberg,"['Хемие Лейпциг', 'Бабельсберг']",football,2023-01-29 18:00:00
sadd-sc-vs-al-markhiya,"['Аль-Садд', 'Аль-Маркия']",football,2023-01-29 16:35:00
al-sailiya-sc-vs-al-gharafa-sc,"['Аль-Сайлия', 'Аль-Гарафа']",football,2023-01-29 16:35:00
al-ahli-doha-sc-vs-umm-salal-sc,"['Аль-Ахли Доха', 'Умм-Салал']",football,2023-01-29 18:45:00
istanbulspor-as-vs-kayserispor,"['Истанбулспор', 'Кайсериспор']",football,2023-01-29 13:30:00
fenerbahce-vs-kasimpasa,"['Фенербахче', 'Касымпаша']",football,2023-01-29 19:00:00
basaksehir-fk-vs-atiker-konyaspor-1922,"['Истанбул Башакшехир', 'Коньяспор']",football,2023-01-29 19:00:00
young-boys-bern-vs-fc-winterthur,"['Янг Бойз', 'Винтертур']",football,2023-01-29 16:15:00
servette-geneva-fc-vs-sion,"['Серветт', 'Сион']",football,2023-01-29 18:30:00
zurich-vs-st-gallen,"['Цюрих', 'Сент Галлен']",football,2023-01-29 18:30:00
ac-bellinzona-vs-yverdon-sport-fc,"['Беллинцона', 'Ивердон']",football,2023-01-29 16:15:00
